"cl-rfile"
"Iteration" "cl"
("Iteration" "cl")
1 0.7316155947432011
2 0.8177736706077116
3 0.9982422897221234
4 1.090061669447026
5 1.131553897627764
6 1.141505951421741
7 1.131146793108883
8 1.107646978760009
9 1.076439832578133
10 1.041732834140025
11 1.007218760546065
12 0.9751380596087913
13 0.9472730798941585
14 0.9248672486038385
15 0.9083870478373994
16 0.8980159094429326
17 0.892570749889732
18 0.8913983521973029
19 0.8935414529831727
20 0.898151827722895
21 0.9039070487509475
22 0.9099836643329654
23 0.9157816108163843
24 0.9208836178269295
25 0.9250514955304723
26 0.9281939955698854
27 0.9302828730476904
28 0.9315548771878147
29 0.9321064436833925
30 0.9320754375837583
31 0.9316212710658988
32 0.9308606303686293
33 0.9299827898238376
34 0.9290948694884393
35 0.9282721336143063
36 0.9275656019121714
37 0.9270023783055559
38 0.9265901640953944
39 0.9263315765056616
40 0.9261864110247799
41 0.9261396733891439
42 0.9261708722171734
43 0.9262568575385551
44 0.9263801899789532
45 0.9265155414069844
46 0.9266478536010034
47 0.926766841497864
