"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.176201343201326
2 0.13769941117834
3 0.1497008192850798
4 0.1502165744316001
5 0.1461050236806396
6 0.1401415555226472
7 0.133905685227869
8 0.1279811437896571
9 0.1225565991132763
10 0.1177836373195973
11 0.1137632933090324
12 0.1103772138772495
13 0.1076000099234665
14 0.1054470457490159
15 0.1039111332647821
16 0.1029744491160731
17 0.102534654822506
18 0.1025245953991938
19 0.1028301132764903
20 0.1033654328803304
21 0.1040008563509502
22 0.104656153008221
23 0.1052689259437254
24 0.105798144965071
25 0.1062218977557765
26 0.1065345799573383
27 0.1067380313996519
28 0.1068568479832331
29 0.1069007635913669
30 0.1068864125201353
31 0.1068312070016009
32 0.1067476786468018
33 0.106655307194912
34 0.1065638618442664
35 0.1064806358094074
36 0.1064102494340015
37 0.106355105942576
38 0.1063156377358964
39 0.1062913386493769
40 0.1062784698378133
41 0.1062757803230125
42 0.1062809067456423
43 0.1062913556464382
44 0.1063053766179194
45 0.1063201469767551
46 0.1063342516411745
47 0.106346680837089
