1	1	0.000000	0.000000	0
1	2	0.000121	-0.001466	0
1	3	0.001006	-0.004075	0
1	4	0.002799	-0.006410	0
1	5	0.006028	-0.008509	0
1	6	0.011971	-0.010588	0
1	7	0.022711	-0.012695	0
1	8	0.040348	-0.014503	0
1	9	0.064249	-0.015641	0
1	10	0.091898	-0.016069	0
1	11	0.121321	-0.015932	0
1	12	0.151576	-0.015403	0
1	13	0.182246	-0.014591	0
1	14	0.213163	-0.013566	0
1	15	0.244252	-0.012386	0
1	16	0.275475	-0.011096	0
1	17	0.306808	-0.009733	0
1	18	0.338238	-0.008329	0
1	19	0.369732	-0.006924	0
1	20	0.401189	-0.005535	0
1	21	0.432601	-0.004180	0
1	22	0.463978	-0.002874	0
1	23	0.495326	-0.001622	0
1	24	0.526644	-0.000436	0
1	25	0.557929	0.000672	0
1	26	0.589180	0.001694	0
1	27	0.620387	0.002615	0
1	28	0.651543	0.003419	0
1	29	0.682643	0.004087	0
1	30	0.713688	0.004600	0
1	31	0.744684	0.004937	0
1	32	0.775638	0.005086	0
1	33	0.806540	0.005039	0
1	34	0.837367	0.004780	0
1	35	0.868129	0.004273	0
1	36	0.898980	0.003478	0
1	37	0.929865	0.002388	0
1	38	0.956570	0.001225	0
1	39	0.975392	0.000283	0
1	40	0.988982	-0.000433	0
1	41	1.000000	0.000000	0
