1	1	0.00000	0.00000	0
1	2	0.00420	0.00957	0
1	3	0.01004	0.01542	0
1	4	0.02004	0.02277	0
1	5	0.03485	0.03113	0
1	6	0.05402	0.03974	0
1	7	0.07645	0.04792	0
1	8	0.10114	0.05532	0
1	9	0.12734	0.06181	0
1	10	0.15463	0.06741	0
1	11	0.18269	0.07217	0
1	12	0.21131	0.07612	0
1	13	0.24034	0.07934	0
1	14	0.26967	0.08186	0
1	15	0.29923	0.08372	0
1	16	0.32896	0.08495	0
1	17	0.35882	0.08558	0
1	18	0.38877	0.08563	0
1	19	0.41879	0.08514	0
1	20	0.44885	0.08412	0
1	21	0.47893	0.08261	0
1	22	0.50899	0.08063	0
1	23	0.53899	0.07822	0
1	24	0.56892	0.07539	0
1	25	0.59878	0.07216	0
1	26	0.62858	0.06850	0
1	27	0.65838	0.06441	0
1	28	0.68825	0.05990	0
1	29	0.71827	0.05500	0
1	30	0.74845	0.04972	0
1	31	0.77879	0.04412	0
1	32	0.80930	0.03828	0
1	33	0.83996	0.03225	0
1	34	0.87079	0.02608	0
1	35	0.90163	0.01991	0
1	36	0.93158	0.01398	0
1	37	0.95744	0.00900	0
1	38	0.97581	0.00553	0
1	39	0.98916	0.00304	0
1	40	1.00000	0.00000	0

